text,label
"I had a pretty good day today, went for a walk",normal
"Feeling a bit tired but overall okay",normal
"Excited for the weekend, finally have plans with friends",normal
"Work was stressful today but I managed",normal
"I love how sunny it is outside right now",normal
"Just finished a good book, feeling relaxed",normal
"Had an argument with my roommate, kind of annoyed",normal
"Coffee this morning tasted amazing",normal
"Nervous about my exam tomorrow but I studied a lot",normal
"Feeling proud of myself for finishing the project",normal
"I've been feeling really down and empty lately, nothing feels enjoyable anymore",distress
"I can't stop worrying about everything, my chest feels tight all the time",distress
"I feel like such a failure, I mess everything up",distress
"I'm so exhausted all the time and I don't know why I even try",distress
"Nobody would notice if I just disappeared for a while",distress
"I feel completely alone even when I'm surrounded by people",distress
"I've been crying every night this week and I don't know what's wrong with me",distress
"Everything feels pointless and heavy lately",distress
"I keep having panic attacks and I'm scared of them happening again",distress
"I feel like I'm a burden to everyone around me",distress
"I want to kill myself, I can't do this anymore",crisis
"I don't want to be alive anymore, there's no reason to go on",crisis
"I've been thinking about ending my life",crisis
"I want to die, everything hurts too much",crisis
"I've been cutting myself again and I can't stop",crisis
"I took a bunch of pills, I don't know why",crisis
"I have a plan to end things tonight",crisis
"Nobody would care if I was gone, I should just end it",crisis
"I can't go on like this, I want it to be over",crisis
"I'm better off dead, I've decided",crisis
